Informe de rendimiento del anuncio (huso horario de UTC)
Fecha de inicio del informe: 16 de febrero de 2026 0:00
Fecha de fin del informe: 9 de abril de 2026 23:59
Fecha de creación: 9 de abril de 2026 8:54


Fecha de inicio (huso horario de UTC)	Moneda	campaign_alias	Estado de la campaña	Fecha de inicio de la campaña	Fecha de finalización de la campaña	adset_alias	Objetivo del lote de anuncios	Tipo de lote de anuncios	Estado del lote de anuncios	Tipo de coste	Presupuesto diario	Presupuesto total	Fecha de inicio del lote de anuncios	Fecha de finalización del lote de anuncios	ad_alias	Estado del anuncio	intro_alias	title_alias	tagline_alias	Tipo de actualización patrocinada	dsc_alias	Gasto total	Impresiones	Clics	Porcentaje de clics	CPM medio	CPC medio	Reacciones	Comentarios	Veces compartido	Seguidores	Otros clics	Acciones sociales totales	Total de interacciones	Tasa de interacción	Impresiones virales	Clics virales	Reacciones virales	Comentarios virales	Veces virales compartidas	Veces virales seguidas	Otros clics virales	Conversiones	Conversiones posteriores al clic	Conversiones de visualización	Tasa de conversión	Coste por conversión	Valor total de las conversiones	Rendimiento del gasto publicitario	Conversiones virales	Conversiones virales postclic	Conversiones virales de visualización	Posibles contactos	Formularios de posibles clientes abiertos	Tasa de finalización de formulario de posibles contactos	Coste por posible contacto	Citas reservadas	Alcance	Promedio de frecuencia	Coste por 1.000  personas alcanzadas	Inscripción en eventos	Inscripciones tras clic	Inscripciones tras visualización	Inscripciones virales	Inscripciones virales tras clic	Inscripciones virales tras visualización	Clics a la página de destino	Clics a la página de LinkedIn	Posibles contactos (email del trabajo)	Tasa de finalización del formulario de generación de contactos (email del trabajo)	Coste por posible contacto (email del trabajo)	Siguiendo del miembro	Clics al perfil del miembro	Posibles clientes cualificados	Coste por posible cliente cualificado	Promedio de permanencia (en segundos)	Suscripciones	Suscripciones virales
5/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	6,09	116	2	1,724 %	52,50	3,05	2	0	0	0	0	2	4	3,448 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	65	1,785	93,69	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	6.4194824561	0	0
6/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	5,66	105	2	1,905 %	53,90	2,83	0	0	0	0	0	0	2	1,905 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	62	1,694	91,29	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	4.7222788462	0	0
7/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	1,95	52	2	3,846 %	37,50	0,98	0	0	0	0	0	0	2	3,846 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	36	1,444	54,17	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	3.5890816327	0	0
8/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	1,30	17	0	0 %	76,47	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	16	1,062	81,25	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	2.8069411765	0	0
9/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	0,51	15	0	0 %	34,00	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	15	1	34,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	4.4026666667	0	0
10/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	0,21	3	0	0 %	70,00	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	3	1	70,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	1.1883333333	0	0
11/3/2026	EUR	813170f3dbc8	En pausa	2/3/2026		813170f3dbc8	Visitas al sitio web	Actualización patrocinada	Completado	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	0,13	1	0	0 %	130,00	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0				0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	2.758	0	0
4/3/2026	EUR	eb75e166f6f3	En pausa	2/3/2026		641887496c6a	Visitas al sitio web	Actualización patrocinada	Activo	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	4,30	48	2	4,167 %	89,58	2,15	1	0	0	0	0	1	4	8,333 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	35	1,371	122,86	0	0	0	0	0	0	2	1	0	0 %	0,00	0	0	0	0,00	5.8144680851	0	0
5/3/2026	EUR	eb75e166f6f3	En pausa	2/3/2026		641887496c6a	Visitas al sitio web	Actualización patrocinada	Activo	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	7,10	99	1	1,01 %	71,72	7,10	0	0	0	0	0	0	1	1,01 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	63	1,571	112,70	0	0	0	0	0	0	1	0	0	0 %	0,00	0	0	0	0,00	4.1923265306	0	0
6/3/2026	EUR	eb75e166f6f3	En pausa	2/3/2026		641887496c6a	Visitas al sitio web	Actualización patrocinada	Activo	CPM	10,00	20,00	2/3/2026		0f7f77577ea4	Activo	d3e8fb6218ab	c61de877f710		DSC	0f7f77577ea4	6,14	90	2	2,222 %	68,22	3,07	0	0	0	0	0	0	2	2,222 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	50	1,8	122,80	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	7.2636179775	0	0
